RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-02-28,2023-04-30,2024-01-31
88916,14922,71110,zip,LA,LA,,"Shreveport-Bossier City, LA",Bossier Parish,2023-01-31,1.6,3.6,1.0
84290,14928,60021,zip,IL,IL,Fox River Grove,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,2023-01-31,0.7,1.3,-1.4
86578,14931,64747,zip,MO,MO,,"Kansas City, MO-KS",Cass County,2023-01-31,1.2,2.2,2.1
70055,14932,28594,zip,NC,NC,Emerald Isle,"Morehead City, NC",Carteret County,2023-01-31,-0.2,-0.1,1.5
73192,14933,34737,zip,FL,FL,Howey in the Hills,"Orlando-Kissimmee-Sanford, FL",Lake County,2023-01-31,-0.2,-0.2,0.2
58552,14935,01929,zip,MA,MA,Essex,"Boston-Cambridge-Newton, MA-NH",Essex County,2023-01-31,0.1,0.4,-1.4
65715,14936,19035,zip,PA,PA,Gladwyne,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,2023-01-31,-0.4,-0.9,-0.6
70956,14936,30205,zip,GA,GA,Brooks,"Atlanta-Sandy Springs-Alpharetta, GA",Fayette County,2023-01-31,0.5,0.9,1.8
74515,14936,37853,zip,TN,TN,Rockford,"Knoxville, TN",Blount County,2023-01-31,1.7,3.8,6.2
98891,14936,96754,zip,HI,HI,Kilauea,"Kapaa, HI",Kauai County,2023-01-31,-0.7,-0.4,-0.5
79505,14942,49012,zip,MI,MI,Augusta,"Kalamazoo-Portage, MI",Kalamazoo County,2023-01-31,0.6,1.4,1.0
70347,14944,29168,zip,SC,SC,Wedgefield,"Sumter, SC",Sumter County,2023-01-31,1.2,2.7,3.1
59929,14946,05489,zip,VT,VT,Underhill,"Burlington-South Burlington, VT",Chittenden County,2023-01-31,0.7,1.5,1.6
58352,14947,01370,zip,MA,MA,Shelburne,"Springfield, MA",Franklin County,2023-01-31,-0.2,-0.5,-1.7
63119,14947,13439,zip,NY,NY,Richfield Springs,"Utica-Rome, NY",Herkimer County,2023-01-31,0.1,0.7,0.7
87847,14949,68069,zip,NE,NE,Waterloo,"Omaha-Council Bluffs, NE-IA",Douglas County,2023-01-31,-0.3,0.0,-0.5
62301,14953,11954,zip,NY,NY,Montauk,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2023-01-31,-1.1,-2.4,-2.3
63593,14954,14543,zip,NY,NY,Rush,"Rochester, NY",Monroe County,2023-01-31,-0.1,-0.2,-0.4
73742,14955,36091,zip,AL,AL,Verbena,"Birmingham-Hoover, AL",Chilton County,2023-01-31,1.1,2.0,2.3
88710,14957,70630,zip,LA,LA,Bell City,"Lake Charles, LA",Cameron Parish,2023-01-31,-0.3,-0.3,-8.1
88761,14959,70730,zip,LA,LA,Ethel,"Baton Rouge, LA",East Feliciana Parish,2023-01-31,0.4,1.7,-3.3
65094,14960,17535,zip,PA,PA,Kinzers,"Lancaster, PA",Lancaster County,2023-01-31,0.6,0.9,0.1
78777,14960,47838,zip,IN,IN,Carlisle,"Terre Haute, IN",Sullivan County,2023-01-31,-0.1,0.4,0.4
85420,14960,62321,zip,IL,IL,Carthage,"Fort Madison-Keokuk, IA-IL-MO",Hancock County,2023-01-31,0.4,1.7,0.6
76802,14963,43718,zip,OH,OH,Saint Clairsville,"Wheeling, WV-OH",Belmont County,2023-01-31,0.7,1.3,-0.7
61024,14964,08242,zip,NJ,NJ,Rio Grande,"Ocean City, NJ",Cape May County,2023-01-31,0.5,1.1,2.0
73047,14964,34228,zip,FL,FL,Longboat Key,"North Port-Sarasota-Bradenton, FL",Sarasota County,2023-01-31,-0.4,-0.8,1.7
